JI,Henry Liston Euharmonic Organ (Calcutta 1812),,,Alt tunings,8,Image,2,,,,,,,,,,,,
,,Standard Tuning,,"Alternate Tuning 1 (""Grave 1"")",,"Alternate Tuning 2 (""Grave 2"")",,"Alternate Tuning 3 (""Extreme Sharp 2"")",,"Alternate Tuning 4 (""Extreme Sharp 1"")",,"Alternate Tuning 5 (""Extreme Flat 2""",,"Alternate Tuning 6 (""Extreme Flat 1"")",,"Alternate Tuning 7 (""Acute 1"")",,"Alternate Tuning 8 (""Acute 2"")",
,,,,1,,0,,2,,3,,4,,5,,6,,7,
Key #:,Key:,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name
36,G#3,192.13,G#-2,192.125,G#-2,192.125,G#-2,192.125,G#-2,192.125,G#-2,196.735,Ab+1,196.735,Ab+1,194.53,G#-1,194.53,G#-1
37,A3,207.5,A-1,207.5,A-1,207.5,A-1,207.5,A-1,207.5,A-1,207.5,A-1,207.5,A-1,207.5,A-1,207.5,A-1
38,A#3,218.6,Bb,218.6,Bb,218.6,Bb,216.14,A#-2,216.14,A#-2,218.6,Bb,218.6,Bb,221.33,Bb+1,221.33,Bb+1
39,B3,230.56,B-1,230.56,B-1,277.7,B-2,230.56,B-1,230.56,B-1,233.17,Cb+1,230.56,B-1,236.09,Cb+2,233.44,B
40,C4,245.92,C,243.17,B#-2,242.88,C-1,243.17,B#-2,245.92,C,245.92,C,245.92,C,243.17,B#-2,249.2,C+1
41,C#4,259.37,C#-1,256.12,C#-2,256.12,C#-2,259.37,C#-1,259.37,C#-1,262.27,Db+1,262.27,Db+1,259.37,C#-1,259.37,C#-1
42,D4,276.66,D,273.25,D-1,273.25,D-1,276.66,D,276.66,D,276.66,D,276.66,D,276.66,D,276.66,D
43,D#4,295.11,Eb+1,291.46,Eb,291.46,Eb,288.19,D#-2,288.19,D#-2,295.11,Eb+1,295.11,Eb+1,295.11,Eb+1,295.11,Eb+1
44,E4,307.4,E-1,307.4,E-1,307.4,E-1,307.4,E-1,307.4,E-1,307.4,E-1,307.4,E-1,311.3,E,311.3,E
45,F4,327.89,F,320.15,E#-3,320.15,E#-3,324.21,E#-2,327.89,F,327.89,F,327.89,F,332,F+1,332,F+1
46,F#4,345.82,F#-1,341.56,F#-2,341.56,F#-2,345.82,F#-1,345.82,F#-1,349.76,Gb+1,345.82,F#-1,354.13,Gb+2,354.13,Gb+2
47,G4,368.89,G,368.89,G,368.89,G-1,368.89,G,368.89,G,368.89,G,368.89,G,368.89,G,373.5,G+1
48,G#4,384.25,G#-2,384.25,G#-2,384.25,G#-2,384.25,G#-2,384.25,G#-2,393.47,Ab+1,393.47,Ab+1,389.06,G#-1,389.06,G#-1
49,A4,409.8,A-1,409.8,A-1,409.8,A-1,409.8,A-1,409.8,A-1,409.8,A-1,409.8,A-1,415,A,415,A-1
50,A#4,437.2,Bb,437.2,Bb,437.2,Bb,432.28,A#-2,432.28,A#-2,437.2,Bb,437.2,Bb,442.66,Bb+1,442.66,Bb+1
